Execution,N Drones,N Obstacles,Algorithm,Time Found Target,Time Mission Completed
1,10,20,DefineTargetScan,1.2874822616577148,2.2250030040740967
2,10,20,DefineTargetScan,1.2876741886138916,0.6317577362060547
3,10,20,DefineTargetScan,1.2878153324127197,0.3613131046295166
4,10,20,DefineTargetScan,1.2879531383514404,0.2229609489440918
5,10,20,DefineTargetScan,1.2881851196289062,0.15515732765197754
6,10,20,DefineTargetScan,1.288640022277832,0.13815879821777344
7,10,20,DefineTargetScan,1.2887961864471436,0.10422301292419434
8,10,20,DefineTargetScan,1.3039112091064453,0.10509395599365234
9,10,20,DefineTargetScan,1.3040871620178223,0.08707404136657715
10,10,20,DefineTargetScan,1.3042292594909668,0.10448098182678223
11,10,20,RowScan,1.3043560981750488,0.06952881813049316
12,10,20,RowScan,1.304596185684204,0.08755373954772949
13,10,20,RowScan,1.3050329685211182,0.1038200855255127
14,10,20,RowScan,1.3051772117614746,0.06999516487121582
15,10,20,RowScan,1.3212182521820068,0.08719992637634277
16,10,20,RowScan,1.3213732242584229,0.08703994750976562
17,10,20,RowScan,1.3215112686157227,0.10524177551269531
18,10,20,RowScan,1.321627140045166,0.08700895309448242
19,10,20,RowScan,1.3218560218811035,0.08722400665283203
